100
30 438
0 1 6.0
0 3 3.0
0 4 8.0
0 6 5.0
0 7 5.0
0 8 4.0
0 10 6.0
0 11 2.0
0 12 1.0
0 19 1.0
0 20 8.0
0 22 2.0
0 23 4.0
0 25 1.0
0 27 8.0
1 0 6.0
1 2 7.0
1 3 2.0
1 5 4.0
1 6 9.0
1 12 8.0
1 14 7.0
1 15 1.0
1 16 7.0
1 18 8.0
1 20 8.0
1 21 2.0
1 22 4.0
1 23 7.0
1 24 6.0
1 27 2.0
1 28 5.0
2 1 7.0
2 3 7.0
2 4 7.0
2 5 6.0
2 8 7.0
2 9 9.0
2 12 3.0
2 13 7.0
2 15 4.0
2 19 5.0
2 20 6.0
2 22 7.0
2 23 1.0
2 25 3.0
2 26 9.0
2 29 9.0
3 0 3.0
3 1 2.0
3 2 7.0
3 4 9.0
3 5 9.0
3 10 7.0
3 12 8.0
3 14 2.0
3 15 6.0
3 16 6.0
3 17 1.0
3 18 3.0
3 19 3.0
3 21 5.0
3 22 4.0
3 24 4.0
3 25 8.0
4 0 8.0
4 2 7.0
4 3 9.0
4 11 2.0
4 13 9.0
4 18 5.0
4 19 6.0
4 20 8.0
4 21 9.0
4 22 5.0
4 24 2.0
4 25 9.0
4 26 9.0
4 27 4.0
4 28 3.0
5 1 4.0
5 2 6.0
5 3 9.0
5 7 3.0
5 10 2.0
5 13 6.0
5 14 3.0
5 20 1.0
5 21 6.0
5 22 4.0
5 24 6.0
5 26 3.0
5 27 3.0
5 29 7.0
6 0 5.0
6 1 9.0
6 8 3.0
6 9 9.0
6 10 9.0
6 14 8.0
6 17 1.0
6 21 8.0
6 22 7.0
6 23 3.0
6 25 4.0
6 29 5.0
7 0 5.0
7 5 3.0
7 10 5.0
7 11 8.0
7 12 7.0
7 13 5.0
7 14 3.0
7 15 5.0
7 18 4.0
7 21 5.0
7 22 1.0
7 27 1.0
7 29 3.0
8 0 4.0
8 2 7.0
8 6 3.0
8 9 9.0
8 10 8.0
8 15 4.0
8 16 3.0
8 18 1.0
8 20 1.0
8 21 5.0
8 24 8.0
8 27 9.0
8 28 4.0
9 2 9.0
9 6 9.0
9 8 9.0
9 15 5.0
9 16 2.0
9 17 2.0
9 19 6.0
9 21 8.0
9 22 4.0
9 23 9.0
9 24 8.0
9 27 7.0
9 28 2.0
9 29 4.0
10 0 6.0
10 3 7.0
10 5 2.0
10 6 9.0
10 7 5.0
10 8 8.0
