100
60 965
0 1 5.0
0 2 8.0
0 4 6.0
0 7 4.0
0 9 5.0
0 11 1.0
0 13 5.0
0 15 3.0
0 16 8.0
0 17 2.0
0 19 7.0
0 20 6.0
0 22 2.0
0 24 1.0
0 25 7.0
0 28 1.0
0 29 6.0
0 32 6.0
0 37 6.0
0 39 5.0
0 40 1.0
0 41 9.0
0 42 5.0
0 47 5.0
0 48 4.0
0 49 5.0
0 53 4.0
0 54 4.0
0 56 4.0
0 57 4.0
0 58 1.0
0 59 7.0
1 2 9.0
1 5 3.0
1 7 4.0
1 8 2.0
1 9 2.0
1 10 7.0
1 13 1.0
1 16 1.0
1 19 8.0
1 20 4.0
1 22 5.0
1 23 5.0
1 26 7.0
1 28 7.0
1 29 2.0
1 31 4.0
1 32 6.0
1 34 2.0
1 35 3.0
1 37 7.0
1 39 8.0
1 40 9.0
1 42 4.0
1 44 9.0
1 46 5.0
1 49 9.0
1 50 8.0
1 54 7.0
1 56 3.0
2 0 2.0
2 13 6.0
2 14 4.0
2 16 8.0
2 18 1.0
2 20 5.0
2 22 6.0
2 23 7.0
2 26 4.0
2 27 4.0
2 28 9.0
2 31 5.0
2 32 1.0
2 34 9.0
2 38 1.0
2 39 2.0
2 41 9.0
2 43 9.0
2 45 4.0
2 46 2.0
2 49 4.0
2 50 3.0
2 53 8.0
2 55 1.0
2 56 5.0
2 58 7.0
2 59 3.0
3 4 3.0
3 6 1.0
3 7 7.0
3 8 6.0
3 9 5.0
3 13 2.0
3 15 9.0
3 19 2.0
3 20 2.0
3 21 7.0
3 25 3.0
3 26 4.0
3 27 5.0
3 28 9.0
3 29 9.0
3 30 6.0
3 31 6.0
3 32 9.0
3 36 3.0
3 37 1.0
3 38 5.0
3 39 5.0
3 41 6.0
3 43 9.0
3 45 3.0
3 49 3.0
3 53 8.0
3 54 2.0
3 57 3.0
3 58 8.0
3 59 1.0
4 5 8.0
4 6 5.0
4 7 6.0
4 8 9.0
4 9 4.0
4 12 5.0
4 13 1.0
4 14 3.0
4 18 1.0
4 20 9.0
4 21 1.0
4 26 9.0
4 28 8.0
4 30 1.0
4 36 9.0
4 38 9.0
4 39 3.0
4 40 9.0
4 41 6.0
4 42 6.0
4 46 2.0
4 49 1.0
4 50 9.0
4 51 3.0
4 52 3.0
4 54 4.0
4 56 1.0
4 57 7.0
4 58 8.0
4 59 5.0
5 3 1.0
5 6 6.0
5 10 1.0
5 13 6.0
5 14 4.0
5 19 5.0
5 22 9.0
5 25 1.0
5 26 6.0
5 28 9.0
5 31 5.0
5 32 4.0
5 35 5.0
5 36 1.0
5 39 5.0
5 40 9.0
5 41 5.0
5 43 6.0
5 47 4.0
5 49 8.0
5 50 6.0
5 51 7.0
5 52 5.0
5 54 2.0
5 55 4.0
5 57 8.0
5 58 4.0
6 8 2.0
6 9 5.0
6 10 3.0
6 11 5.0
6 12 5.0
6 14 8.0
6 15 7.0
6 17 3.0
6 18 8.0
6 19 2.0
6 20 5.0
6 24 9.0
6 25 5.0
6 28 4.0
6 29 2.0
6 34 2.0
6 35 9.0
6 37 3.0
6 38 5.0
6 40 2.0
6 41 7.0
6 42 8.0
6 43 1.0
6 46 9.0
6 47 9.0
6 49 4.0
6 54 2.0
6 55 1.0
6 57 1.0
6 59 9.0
7 8 5.0
7 9 3.0
7 10 1.0
7 12 5.0
7 13 5.0
7 14 7.0
7 15 7.0
7 17 4.0
7 18 4.0
7 25 4.0
7 28 7.0
7 29 1.0
7 30 8.0
7 31 4.0
7 32 8.0
7 33 4.0
7 34 2.0
7 40 4.0
7 42 3.0
7 45 8.0
7 46 9.0
7 47 1.0
7 48 3.0
7 50 6.0
7 52 1.0
7 56 1.0
7 57 6.0
7 58 1.0
8 7 9.0
8 10 2.0
8 13 4.0
8 16 5.0
8 17 7.0
8 18 7.0
8 20 7.0
8 22 8.0
8 25 1.0
8 26 9.0
8 27 8.0
8 28 5.0
8 30 5.0
8 31 2.0
8 34 8.0
8 35 3.0
8 36 3.0
8 37 8.0
8 38 6.0
8 40 4.0
8 41 9.0
8 43 8.0
8 44 2.0
8 45 3.0
8 47 7.0
8 49 7.0
8 51 1.0
8 54 3.0
8 56 6.0
8 58 6.0
8 59 6.0
9 12 7.0
9 13 1.0
9 15 3.0
9 17 9.0
9 18 8.0
9 19 5.0
9 21 5.0
9 24 3.0
9 28 5.0
9 30 9.0
9 31 3.0
9 33 8.0
9 35 9.0
9 43 1.0
9 44 9.0
9 48 9.0
9 49 3.0
9 51 5.0
9 52 8.0
9 54 3.0
9 55 3.0
9 59 7.0
10 1 8.0
10 4 5.0
10 12 8.0
10 14 2.0
10 15 4.0
10 16 6.0
10 17 6.0
10 18 4.0
10 19 6.0
10 20 3.0
10 21 9.0
10 22 8.0
10 25 1.0
10 26 1.0
10 27 2.0
10 28 7.0
10 29 3.0
10 33 5.0
10 34 4.0
10 36 3.0
10 37 1.0
10 38 5.0
10 40 8.0
10 44 3.0
10 47 5.0
10 49 1.0
10 52 1.0
10 54 1.0
10 55 5.0
10 58 5.0
10 59 7.0
11 5 4.0
11 12 8.0
11 13 7.0
11 15 5.0
11 16 2.0
11 18 5.0
11 19 5.0
11 20 1.0
11 22 5.0
11 27 9.0
11 28 6.0
11 30 1.0
11 33 7.0
11 34 4.0
11 35 1.0
11 37 9.0
11 38 8.0
11 39 2.0
11 40 2.0
11 41 7.0
11 43 6.0
11 44 8.0
11 48 3.0
11 50 6.0
11 53 4.0
11 55 2.0
11 56 9.0
11 57 9.0
11 58 2.0
11 59 3.0
12 11 8.0
12 14 4.0
12 16 4.0
12 17 9.0
12 18 7.0
12 19 9.0
12 21 7.0
12 22 5.0
12 24 5.0
12 25 4.0
12 32 6.0
12 33 1.0
12 36 7.0
12 37 8.0
12 38 3.0
12 40 4.0
12 42 8.0
12 43 8.0
12 47 3.0
12 48 2.0
12 53 5.0
12 57 3.0
12 59 2.0
13 12 6.0
13 16 1.0
13 17 2.0
13 18 6.0
13 19 5.0
13 20 9.0
13 21 8.0
13 23 7.0
13 25 8.0
13 26 3.0
13 27 7.0
13 28 7.0
13 29 2.0
13 30 2.0
13 31 6.0
13 32 3.0
13 33 2.0
13 34 1.0
13 38 7.0
13 40 1.0
13 41 9.0
13 45 1.0
13 46 4.0
13 47 9.0
13 49 1.0
13 50 9.0
13 51 5.0
13 54 4.0
13 55 6.0
13 57 6.0
13 58 7.0
14 15 2.0
14 16 4.0
14 18 4.0
14 19 9.0
14 20 8.0
14 23 8.0
14 25 2.0
14 27 6.0
14 29 5.0
14 30 3.0
14 31 7.0
14 32 6.0
14 35 8.0
14 36 5.0
14 37 6.0
14 38 2.0
14 39 5.0
14 41 8.0
14 44 2.0
14 48 8.0
14 50 6.0
14 51 5.0
14 52 3.0
14 54 2.0
14 56 2.0
14 57 2.0
14 59 8.0
15 6 2.0
15 16 5.0
15 17 9.0
15 18 2.0
15 20 8.0
15 21 1.0
15 24 9.0
15 26 6.0
15 27 9.0
15 28 1.0
15 29 6.0
15 30 2.0
15 31 3.0
15 32 5.0
15 33 7.0
15 34 7.0
15 37 7.0
15 38 7.0
15 39 8.0
15 40 5.0
15 41 3.0
15 42 3.0
15 44 9.0
15 45 8.0
15 49 8.0
15 50 4.0
15 51 3.0
15 53 9.0
15 55 4.0
15 57 4.0
16 17 7.0
16 18 1.0
16 19 5.0
16 20 7.0
16 21 2.0
16 23 1.0
16 24 6.0
16 25 1.0
16 26 9.0
16 28 3.0
16 29 1.0
